"","Team","TeamFull","Games","Wins","Losses","Pts","Diff","FinalRank","Qualified","Prize"
"1","AST","AST Astralis",18,7,11,21,-4,NA,NA,NA
"2","BDS","BDS Team BDS",18,3,15,9,-12,NA,NA,NA
"3","FNC","FNC Fnatic",18,10,8,30,2,3,"World Championship 2022","$31,499"
"4","G2","G2 G2 eSports",18,12,6,36,6,2,"World Championship 2022","$52,499"
"5","MAD","MAD MAD Lions",18,12,6,36,6,4,"","$21,000"
"6","MSF","MSF Misfits Gaming",18,10,8,30,2,5,"","$14,175"
"7","RGE","RGE Rogue",18,11,7,33,4,1,"World Championship 2022","$83,998"
"8","SK","SK SK Gaming",18,7,11,21,-4,NA,NA,NA
"9","VIT","VIT Team Vitality",18,9,9,27,0,NA,NA,NA
"10","XL","XL EXCEL",18,9,9,27,0,6,"","$6,825"
