"","Stream","Duration","AVG.CCV","MAX.CCV","Followers","Title","teams"
"1","2022-06-17 14:34",450,85694,127109,3365,"Week 1 Day 1 | 2022 LEC Summer",NA
"2","2022-06-18 02:32",402,6375,9743,-50,"(REBROADCAST) Week 1 Day 1 | 2022 LEC Summer",NA
"3","2022-06-18 13:23",401,74558,131560,3518,"Week 1 Day 2 | 2022 LEC Summer",NA
"4","2022-06-19 01:41",344,8969,15080,425,"(REBROADCAST) Week 1 Day 2 | 2022 LEC Summer",NA
"5","2022-06-19 13:25",429,78480,128932,3231,"Week 1 Day 3 | 2022 LEC Summer",NA
"6","2022-06-20 01:11",363,2916,4275,413,"(REBROADCAST) Week 1 Day 3 | 2022 LEC Summer",NA
"7","2022-06-24 14:29",535,84215,125215,4117,"Week 2 Day 1 | 2022 LEC Summer",NA
"8","2022-06-25 02:13",481,4956,6025,495,"(Rebroadcast) Week 2 Day 1 | 2022 LEC Summer",NA
"9","2022-06-25 13:21",473,75341,129547,2979,"Week 2 Day 2 | 2022 LEC Summer",NA
"10","2022-06-26 01:58",426,3054,5330,312,"(Rebroadcast) Week 2 Day 2 | 2022 LEC Summer",NA
"11","2022-07-01 14:08",436,70418,121867,2440,"Week 3 Day 1 | 2022 LEC Summer",NA
"12","2022-07-01 23:20",364,2739,3769,180,"(REBROADCAST) Week 3 Day 1 | 2022 LEC Summer",NA
"13","2022-07-02 13:22",422,62598,125234,2105,"Week 3 Day 2 | 2022 LEC Summer",NA
"14","2022-07-03 01:22",362,8645,13404,308,"(REBROADCAST) Week 3 Day 2 | 2022 LEC Summer",NA
"15","2022-07-15 14:20",434,55151,89148,1078,"Countdown | Week 4 Day 1 | 2022 LEC Summer",NA
"16","2022-07-16 00:20",374,1806,2211,-69,"(REBROADCAST) Week 4 Day 1 | 2022 LEC Summer",NA
"17","2022-07-16 13:21",453,54691,102203,1828,"Countdown | Week 4 Day 2 | 2022 LEC Summer",NA
"18","2022-07-17 01:29",365,7458,12611,147,"(REBROADCAST) Week 4 Day 2 | 2022 LEC Summer",NA
"19","2022-07-22 14:32",412,61960,99274,1905,"Week 5 Day 1 | 2022 LEC Summer",NA
"20","2022-07-23 01:02",362,2874,4483,135,"(REBROADCAST) Week 5 Day 1 | 2022 LEC Summer",NA
"21","2022-07-23 13:30",404,61899,109635,2083,"Countdown | Week 5 Day 2 | 2022 LEC Summer",NA
"22","2022-07-24 01:25",359,7821,13138,224,"(REBROADCAST) Week 5 Day 2 | 2022 LEC Summer",NA
"23","2022-07-29 14:35",429,70467,107226,2713,"Week 6 Day 1 | 2022 LEC Summer",NA
"24","2022-07-30 00:20",384,2852,4273,197,"(REBROADCAST) | Week 6 Day 1 | 2022 LEC Summer",NA
"25","2022-07-30 13:33",391,64879,112709,2315,"Countdown | Week 6 Day 1 | 2022 LEC Summer",NA
"26","2022-07-31 01:48",346,8525,14414,323,"(REBROADCAST) Week 6 Day 2 | 2022 LEC Summer",NA
"27","2022-08-05 14:29",385,58914,97182,2011,"Week 7 Day 1 | 2022 LEC Summer",NA
"28","2022-08-06 13:22",432,65803,124530,2492,"Week 7 Day 2 | 2022 LEC Summer",NA
"29","2022-08-07 01:32",372,7643,11815,319,"(REBROADCAST) Week 7 Day 2 | 2022 LEC Summer",NA
"30","2022-08-12 14:24",420,73980,126136,2763,"Week 8 Day 1 | 2022 LEC Summer",NA
"31","2022-08-13 02:34",360,7378,16689,256,"(REBROADCAST) Week 8 Day 1 | 2022 LEC Summer",NA
"32","2022-08-13 13:25",469,84622,142223,4325,"Week 8 Day 2 | 2022 LEC Summer",NA
"33","2022-08-14 00:56",408,7896,13377,616,"(REBROADCAST) Week 8 Day 2 | 2022 LEC Summer",NA
"34","2022-08-14 13:30",524,91563,150272,3796,"Week 8 Day 3 | 2022 LEC Summer",NA
"35","2022-08-15 01:57",467,7182,12554,541,"(REBROADCAST) Week 8 Day 3 | 2022 LEC Summer",NA
"36","2022-08-26 14:42",402,91725,146669,3101,"RGE vs. MAD | Playoffs Round 1 | 2022 LEC Summer","RGE vs MAD"
"37","2022-08-27 01:10",364,7289,14683,10,"(REBROADCAST) RGE vs. MAD | Playoffs Round 1 | 2022 LEC Summer","RGE vs MAD"
"38","2022-08-27 13:24",340,102062,164762,4457,"G2 vs. MSF | Playoffs Round 1 | 2022 LEC Summer","G2 vs MSF"
"39","2022-08-28 00:32",282,12313,17306,590,"(REBROADCAST) G2 vs. MSF | Playoffs Round 1 | 2022 LEC Summer","G2 vs MSF"
"40","2022-08-28 13:03",451,119609,216829,5301,"FNC vs. XL | Playoffs Round 1 | 2022 LEC Summer","FNC vs XL"
"41","2022-08-29 00:09",375,10485,26781,583,"(REBROADCAST) FNC vs. XL | Playoffs Round 1 | 2022 LEC Summer","FNC vs XL"
"42","2022-09-02 14:19",295,86952,144648,2664,"MSF vs. FNC | Playoffs Round 2 | 2022 LEC Summer","MSF vs FNC"
"43","2022-09-03 03:59",235,11421,17499,402,"(REBROADCAST) MSF vs. FNC | Playoffs Round 2 | 2022 LEC Summer","MSF vs FNC"
"44","2022-09-03 13:15",289,92953,166440,3002,"G2 vs. RGE | Playoffs Round 2 | 2022 LEC Summer","G2 vs RGE"
"45","2022-09-04 00:18",226,16455,28403,429,"(REBROADCAST) G2 vs. RGE | Playoffs Round 2 | 2022 LEC Summer","G2 vs RGE"
"46","2022-09-04 13:19",335,105860,185997,3651,"MAD vs. FNC | Playoffs Round 2 | 2022 LEC Summer","MAD vs FNC"
"47","2022-09-05 01:08",256,13173,26093,419,"(REBROADCAST) MAD vs. FNC | Playoffs Round 2 | 2022 LEC Summer","MAD vs FNC"
"48","2022-09-10 13:01",393,133844,218383,6856,"Semifinals: FNC vs RGE | 2022 LEC Summer","FNC vs RGE"
"49","2022-09-11 01:28",336,4339,6232,418,"(REBROADCAST) Semifinals: FNC vs RGE | 2022 LEC Summer","FNC vs RGE"
"50","2022-09-11 10:00",544,133842,344058,12715,"2022 LEC Summer - Finals: Warm-Up","G2 vs RGE"
"51","2022-09-11 23:44",300,11982,29839,502,"(REBROADCAST) Finals: G2 vs RGE | 2022 LEC Summer","G2 vs RGE"
